id;display_order;EventID;Date_Maybe;Date_Stage;Stage_Short;季節;大約日期;地點;事件名稱;事件分類;神學主題;耶穌品格;焦點;福音中心;經文總覽;經文_太;經文_可;經文_路;經文_約;經文狀態;合參原則;年代確信度;順序確信度;資料類型;事件分類_五大精分;分類依據_研究級;教導_主題_研究級;事件分類_研究級_細分;教導_天國_二級主題;比喻_二級主題;神蹟_二級主題;事件分類_研究級_終版;示範_二級主題;智慧_二級主題;幽默_二級主題;事件分類_研究級_終極;分類_Tags;新約串珠;新約串珠_理由;新約串珠_事件級;新約串珠_事件級_結論;主題索引_研究級;舊約彌賽亞串珠;舊約經文引用_耶穌;人事時地物預表;舊約經文引用_耶穌_擴充;人事時地物預表_一級;人事時地物預表_二級;使用者痛點標籤;一句帶走的話;使用者痛點_主要;使用者痛點_次要;福音中心_微型敘事;福音中心_old
217;9;E-009;05BCE-03;;Birth;春;西元前 5 年;伯利恆;耶穌降生;;降卑;謙卑、親近、憐憫;客旅;【耶穌降生】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 2:1-7;;;Lk 2:1-7;;經文明載;福音書順序;低;高;事件;教導>教導;;其他教導;;;;;;;;;;;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12｜共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;理由：①本事件要求「天國倫理」：愛、聖潔、真實行動；②書信將其展開成「心意更新、活祭、聖靈結出果子」；③共同信息：倫理不是自我修行，而是福音結果。;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12;共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;天國門徒生活（綜合）;"【P】[彌賽亞預言] 彌 5:2; 賽 9:1-2";;;;;;身份困惑;神選擇最小的地方，來到你身邊。（E-009）;身份困惑;匱乏／無力;【耶穌降生】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
218;10;E-010;05BCE-03;;Birth;春;西元前 5 年;伯利恆野地;牧羊人報信;;福音對象;恩典、接納、喜樂;大喜的信息;【牧羊人報信】 耶穌在『天國/福音』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 2:8-20;;;Lk 2:8-20;;經文明載;福音書順序;低;高;事件;教導>教導;;天國/福音;;天國宣告;;;;;;;;;羅 3:21-26；弗 2:8-10；多 3:4-7；林後 5:21；來 10:10-14｜共同點：救恩根基在恩典與代贖，人的回應是信靠與跟隨，不是自我加分。;理由：①本事件凸顯「恩典先行、赦罪與和好」；②保羅/希伯來書以「因信稱義、基督代贖一次成就」說明同一核心；③所以回應不是自救，而是信靠並進入新生活。;羅 3:21-26；弗 2:8-10；多 3:4-7；林後 5:21；來 10:10-14;共同點：救恩根基在恩典與代贖，人的回應是信靠與跟隨，不是自我加分。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 詩 23:1-3; 撒下 7:8-16";;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-010）;身份困惑;匱乏／無力;【牧羊人報信】 耶穌在『天國/福音』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
219;11;E-011;05BCE-03;;Birth;春;西元前 5 年;伯利恆/居所(未明載);割禮與命名;;律法成全;順服、謙卑、信實;名為耶穌(第八天/非聖殿);【割禮與命名】 耶穌在『律法/義/潔淨與傳統』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 2:21;;;Lk 2:21;;經文明載;節期標記;中;高;事件;教導>命令/門訓;;律法/義/潔淨與傳統;;;;;;;;;;;羅 14:1-4, 17-19；加 3:23-29；西 2:16-23；來 8:6-13；雅 2:8-13｜共同點：書信延續耶穌對律法與潔淨的重心：外在規條不能救人，福音把人帶進愛與憐憫的真義。;理由：①本事件揭示「外在規條不足以成義」；②書信同樣反對靠律法稱義，指出真義是愛與憐憫；③共同信息：福音不是廢掉聖潔，而是把人帶回律法的心意。;羅 14:1-4, 17-19；加 3:23-29；西 2:16-23；來 8:6-13；雅 2:8-13;共同點：書信延續耶穌對律法與潔淨的重心：外在規條不能救人，福音把人帶進愛與憐憫的真義。;天國門徒生活（綜合）;;;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-011）;身份困惑;匱乏／無力;【割禮與命名】 耶穌在『律法/義/潔淨與傳統』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。
220;12;E-012;05BCE-03;;Birth;春;西元前 5 年;耶路撒冷聖殿;獻嬰禮與西面的頌讚;;啟示;信實、安慰、盼望;以色列的安慰(第四十天);【獻嬰禮與西面的頌讚】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 2:22-38;;;Lk 2:22-38;;經文明載;節期標記;中;高;事件;教導>命令/門訓;;其他教導;;;;;;;;;;;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12｜共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;理由：①本事件要求「天國倫理」：愛、聖潔、真實行動；②書信將其展開成「心意更新、活祭、聖靈結出果子」；③共同信息：倫理不是自我修行，而是福音結果。;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12;共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 賽 42:6; 賽 49:6";;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-012）;身份困惑;匱乏／無力;【獻嬰禮與西面的頌讚】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。
221;13;E-013;04BCE-03;;Birth;春;西元前 4 年;伯利恆;東方博士朝拜;;外邦敬拜;榮耀、吸引、普世;君王;【東方博士朝拜】 耶穌在『禱告/聖靈/敬拜』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Mt 2:1-12;Mt 2:1-12;;;;經文明載;經文段落連結;低;中;事件;教導>教導;;禱告/聖靈/敬拜;;;;;;;;;;;腓 4:6-7；帖前 5:16-18；弗 6:18；雅 5:13-16；羅 8:26-27｜共同點：禱告是與神同工的呼吸；聖靈扶持人的軟弱，使信徒在患難中得平安與堅忍。;理由：①本事件把人帶進「與父相交」的禱告生活；②書信教導在患難中禱告、聖靈幫助軟弱；③共同信息：禱告不是技巧，而是把焦慮交託、在靈裡得能力。;腓 4:6-7；帖前 5:16-18；弗 6:18；雅 5:13-16；羅 8:26-27;共同點：禱告是與神同工的呼吸；聖靈扶持人的軟弱，使信徒在患難中得平安與堅忍。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 民 24:17; 詩 72:10-11; 賽 60:1-6";;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-013）;身份困惑;匱乏／無力;【東方博士朝拜】 耶穌在『禱告/聖靈/敬拜』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;耶穌進入真實人間，表明神不是在高處等待，而是在低處與人相遇；所以盼望不取決於處境，而取決於祂的臨在。
222;14;E-014;04BCE-03;;Birth;春;西元前 4 年;往埃及路上;逃往埃及;;受難預表;保護、信實、引導;神意保全;【逃往埃及】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Mt 2:13-15;Mt 2:13-15;;;;經文明載;經文段落連結;低;中;事件;教導>命令/門訓;;其他教導;;;;;;;;;;;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12｜共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;理由：①本事件要求「天國倫理」：愛、聖潔、真實行動；②書信將其展開成「心意更新、活祭、聖靈結出果子」；③共同信息：倫理不是自我修行，而是福音結果。;羅 12:1-2, 9-21；加 5:13-26；弗 4:17-5:2；雅 1:22-27；彼前 2:11-12;共同點：天國倫理在新約書信中被展開為『更新的生命樣式』：以愛、聖潔與真實行動回應福音。;天國門徒生活（綜合）;;;;;;;焦慮／恐懼;路看似封死，祂仍在保守帶領你。;焦慮／恐懼;身份困惑;【逃往埃及】 耶穌在『其他教導』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;神選擇以卑微進入歷史，顛覆人以權力與資源換安全感的邏輯；救恩從一開始就宣告：神靠近人的方式是同在，不是命令。
223;15;E-015;04BCE-03;;Birth;春;西元前 4 年;伯利恆/拉瑪;希律屠嬰;;苦難;憐憫、同理、悲憫;拉結哭子;【希律屠嬰】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;Mt 2:16-18;Mt 2:16-18;;;;經文明載;經文段落連結;低;中;事件;示範>身教/行動;;;;;;;;示範綜合;;;;;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25｜共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;理由：①本事件聚焦門徒被呼召/被塑造/被差遣；②書信談「建造成長、彼此成全、傳承真道」；③共同信息：門徒訓練是群體工程，不是單兵信仰。;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25;共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;天國門徒生活（綜合）;;;;;;;身份困惑;祂不是說給你聽，祂做給你看。（E-015）;身份困惑;匱乏／無力;【希律屠嬰】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;道成肉身不是遠距援助，而是神親自走進人的有限與羞恥裡，讓人不必先整理好人生才配得靠近祂。
224;16;E-016;04BCE-03;;Birth;春;西元前 4 年;拿撒勒;歸回拿撒勒;;應驗;謙卑、忍耐、順服;路2:39摘要句(需插入Mt2:1-18);【歸回拿撒勒】 耶穌在『關係/婚姻/家庭/鄰舍』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Mt 2:19-23 | Lk 2:39;Mt 2:19-23;;Lk 2:39;;經文明載;合參推論 (路加敘事壓縮);低;中;事件;教導>教導;;關係/婚姻/家庭/鄰舍;;;;;;;;;;;林前 13:4-8；羅 13:8-10；弗 4:32-5:2；西 3:12-14；約壹 4:7-12｜共同點：新約作者把耶穌的愛與饒恕具體化：以基督先愛為根基，活出赦免、忍耐與彼此相愛。;理由：①本事件以愛與饒恕為核心命令；②書信把愛定義為福音的中心實踐（彼此相愛、以恩慈饒恕）；③共同信息：先被愛的人，才能活出愛。;林前 13:4-8；羅 13:8-10；弗 4:32-5:2；西 3:12-14；約壹 4:7-12;共同點：新約作者把耶穌的愛與饒恕具體化：以基督先愛為根基，活出赦免、忍耐與彼此相愛。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 賽 11:1; 撒下 7:12-16";;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-016）;身份困惑;匱乏／無力;【歸回拿撒勒】 耶穌在『關係/婚姻/家庭/鄰舍』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。
225;17;E-017;0008-03;;Hidden Years;春;西元 8 年;耶路撒冷聖殿;十二歲在聖殿;;身分覺醒;渴慕真理、順服、智慧;以父的事為念;【十二歲在聖殿】 耶穌在『身份/基督論/救恩』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Lk 2:40-52;;;Lk 2:40-52;;經文明載;節期標記;中;高;事件;教導>教導;;身份/基督論/救恩;;;;;;;;;;;羅 8:1-17；林後 5:17；加 2:20；弗 1:3-14；約壹 3:1-2｜共同點：在基督裡的新身分不是靠表現，而是因神的揀選、更新與收納。;理由：①本事件的核心真理是「身份由神宣告/更新」；②書信把同一真理表述為「在基督裡得兒子名分/新造的人」；③因此信徒的安全感根基不在表現，而在神的收納與同在。;羅 8:1-17；林後 5:17；加 2:20；弗 1:3-14；約壹 3:1-2;共同點：在基督裡的新身分不是靠表現，而是因神的揀選、更新與收納。;天國門徒生活（綜合）;;;;;;;控制／權力壓力;你被規則逼著活，祂把你放回恩典。（E-017）;控制／權力壓力;身份困惑;【十二歲在聖殿】 耶穌在『身份/基督論/救恩』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;在行旅互動裡，耶穌先靠近、先看見、先接住人，顯明神的愛不是對『理想人』才開放；所以被接納先於被改變。
226;18;E-018;0027-01;;Beginnings;春;約 西元 27 年;猶大曠野;施洗約翰的曠野呼聲;;悔改;信實、順服、權柄;天國近了;【施洗約翰的曠野呼聲】 耶穌在『天國/福音』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;Mt 3:1-12 | Mk 1:1-8 | Lk 3:1-20;Mt 3:1-12;Mk 1:1-8;Lk 3:1-20;;經文明載;經文段落連結;高;高;事件;教導>教導;;天國/福音;;天國宣告;;;;;;;;;羅 3:21-26；弗 2:8-10；多 3:4-7；林後 5:21；來 10:10-14｜共同點：救恩根基在恩典與代贖，人的回應是信靠與跟隨，不是自我加分。;理由：①本事件凸顯「恩典先行、赦罪與和好」；②保羅/希伯來書以「因信稱義、基督代贖一次成就」說明同一核心；③所以回應不是自救，而是信靠並進入新生活。;羅 3:21-26；弗 2:8-10；多 3:4-7；林後 5:21；來 10:10-14;共同點：救恩根基在恩典與代贖，人的回應是信靠與跟隨，不是自我加分。;天國門徒生活（綜合）;【T】[彌賽亞預言] 賽 42:1;;;;;;身份困惑;你還沒開口，祂已先靠近你。（E-018）;身份困惑;匱乏／無力;【施洗約翰的曠野呼聲】 耶穌在『天國/福音』上不只是給答案，乃是把你帶回父的心意：在祂裡面被愛而得自由。;耶穌的身分在任何人的回應之前先被宣告，顯明被接納不是績效換來，而是白白的愛先行。
227;19;E-019;0027-02;;Beginnings;春;約 西元 27 年;約旦河;耶穌受洗;;身分確認;謙卑、順服、身份確立;愛子;【耶穌受洗】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;Mt 3:13-17 | Mk 1:9-11 | Lk 3:21-22;Mt 3:13-17;Mk 1:9-11;Lk 3:21-22;;經文明載;經文段落連結;高;高;事件;示範>順服/試煉;;;;;;;;順服父神;;;;;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25｜共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;理由：①本事件聚焦門徒被呼召/被塑造/被差遣；②書信談「建造成長、彼此成全、傳承真道」；③共同信息：門徒訓練是群體工程，不是單兵信仰。;弗 4:11-16；西 3:12-17；提後 2:1-2；彼前 4:7-11；來 10:24-25;共同點：門徒不是個人修行，而是被建造成群體，在愛中成長、彼此成全、持續傳承。;天國門徒生活（綜合）;"【M】[彌賽亞預言] 賽 42:1; 詩 2:7; 賽 53:12";;出 14；書 3;;事件;過水/出埃及與新出埃及;身份困惑;祂不是說給你聽，祂做給你看。（E-019）;身份困惑;匱乏／無力;【耶穌受洗】 耶穌用行動示範天國：不是表演敬虔，而是把愛落地，讓你看見『跟隨』可以長什麼樣子。;在試探與考驗中，耶穌替我們承受並得勝，顯明拯救不是教人更強，而是有人已為軟弱者打贏那場戰。
